RK,NAME,TEAM,POS,GMS,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Josh Allen,BUF,QB,16,4544,37,10,421,8,1,12,1,0,0,0,0,24.7,395.06
2,Aaron Rodgers,GB,QB,16,4299,48,5,149,3,1,-6,0,0,0,0,0,23.9,382.26
3,Kyler Murray,ARI,QB,16,3971,26,12,819,11,0,0,0,0,0,0,0,23.7,378.74
4,Patrick Mahomes,KC,QB,15,4740,38,6,308,2,0,0,0,0,0,0,0,25,374.4
5,Deshaun Watson,HOU,QB,16,4823,33,7,444,3,0,0,0,0,0,0,0,23.1,369.32
6,Russell Wilson,SEA,QB,16,4212,40,13,513,2,0,0,0,0,0,0,0,22.5,359.78
7,Ryan Tannehill,TEN,QB,16,3819,33,7,266,7,1,0,0,0,0,0,0,21.5,343.36
8,Tom Brady,TB,QB,16,4633,40,12,6,3,0,0,0,0,0,0,0,21.1,337.92
9,Justin Herbert,LAC,QB,15,4336,31,10,234,5,0,0,0,0,0,0,0,22.2,332.84
10,Lamar Jackson,BAL,QB,15,2757,26,9,1005,7,0,0,0,0,0,0,0,22.2,332.78
11,Derrick Henry,TEN,RB,16,0,0,0,2027,17,19,114,0,0,0,0,0,19.6,314.1
12,Kirk Cousins,MIN,QB,16,4265,35,13,156,1,0,0,0,0,0,0,0,19.1,306.2
13,Alvin Kamara,NO,RB,15,0,0,0,932,16,83,756,5,0,0,0,0,19.7,294.8
14,Dalvin Cook,MIN,RB,14,0,0,0,1557,16,44,361,1,0,0,0,0,21,293.8
15,Matt Ryan,ATL,QB,16,4581,26,11,92,2,0,0,0,0,0,0,0,17.5,280.44
16,Derek Carr,LV,QB,16,4103,27,9,140,3,0,0,0,0,0,0,0,17,272.12
17,Ben Roethlisberger,PIT,QB,15,3803,33,10,11,0,0,0,0,0,0,0,0,17.8,267.22
18,Matthew Stafford,DET,QB,16,4084,26,10,112,0,0,0,0,0,0,0,0,16.3,260.56
19,Cam Newton,NE,QB,15,2657,8,10,592,12,2,35,1,0,0,0,0,17.3,258.98
20,Baker Mayfield,CLE,QB,16,3563,26,8,165,1,1,6,0,0,0,0,0,15.5,247.62
21,Davante Adams,GB,WR,14,0,0,0,0,0,115,1374,18,0,0,0,0,17.4,243.4
22,Tyreek Hill,KC,WR,15,0,0,0,123,2,87,1276,15,0,0,1,0,16.1,241.9
23,Teddy Bridgewater,CAR,QB,15,3733,15,11,279,5,0,0,0,0,0,0,0,16.1,241.22
24,Jared Goff,LAR,QB,15,3952,20,13,99,4,0,0,0,0,0,0,0,16,239.98
25,Philip Rivers,IND,QB,16,4169,24,11,-8,0,0,0,0,0,0,0,0,15,239.96
26,Jonathan Taylor,IND,RB,15,0,0,0,1169,11,36,299,1,0,0,0,0,14.5,216.8
27,Aaron Jones,GB,RB,14,0,0,0,1104,9,47,355,2,0,0,0,0,15.1,211.9
28,David Montgomery,CHI,RB,15,0,0,0,1070,8,54,438,2,0,0,0,0,14.1,210.8
29,Drew Brees,NO,QB,12,2942,24,6,-2,2,0,0,0,0,0,0,0,17.5,209.48
30,Travis Kelce,KC,TE,15,4,0,0,0,0,105,1416,11,0,0,0,0,13.9,207.76
31,Stefon Diggs,BUF,WR,16,0,0,0,1,0,127,1535,8,0,0,0,0,12.6,201.6
32,James Robinson,JAX,RB,14,0,0,0,1070,7,49,344,3,0,0,0,0,14.4,201.4
33,Carson Wentz,PHI,QB,12,2620,16,15,276,5,0,0,0,0,0,0,0,16.5,198.4
